epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2210.55,2.34109,1.26654,0.0057,0.69613,0.39301,0.4306,0.20992,2.12988,1.0889,0.00628,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129
31,2581.62,2.35484,1.28104,0.00583,0.69818,0.39198,0.43194,0.21016,2.12249,1.08644,0.00626,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
32,2943.7,2.35714,1.27179,0.00586,0.69894,0.39483,0.43466,0.21249,2.12059,1.07838,0.00622,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931
33,3310.95,2.35654,1.27647,0.00578,0.70697,0.39815,0.43846,0.21415,2.11037,1.08074,0.00618,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
34,365.408,2.31389,1.23769,0.00568,0.7062,0.401,0.44148,0.21617,2.10302,1.06139,0.00615,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733
35,155.208,2.38516,1.22534,0.00512,0.7085,0.4062,0.4465,0.21857,2.20948,1.08374,0.00555,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
36,289.682,2.4172,1.22954,0.00507,0.71522,0.40568,0.44681,0.21927,2.21225,1.08593,0.00553,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
37,449.099,2.40812,1.23404,0.00502,0.71253,0.411,0.45073,0.22148,2.19462,1.07837,0.0055,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
38,621.759,2.41156,1.22139,0.00503,0.71392,0.40959,0.44963,0.22136,2.20269,1.07749,0.00551,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337
39,738.127,2.38473,1.20879,0.00505,0.71479,0.41117,0.45217,0.2224,2.20068,1.07342,0.00548,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
40,857.48,2.39484,1.22707,0.00506,0.71278,0.41306,0.45293,0.22354,2.19429,1.06873,0.00548,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139
41,984.701,2.391,1.21496,0.005,0.72241,0.41135,0.45492,0.22353,2.19463,1.06924,0.00548,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
42,1126.96,2.38968,1.21815,0.00499,0.72204,0.41526,0.45804,0.22545,2.18839,1.06182,0.00546,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941
43,1276.61,2.38456,1.21423,0.005,0.71848,0.41867,0.45915,0.22628,2.18058,1.05978,0.00544,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
44,1435.86,2.36168,1.20841,0.00502,0.72147,0.41716,0.45918,0.22687,2.17519,1.06366,0.00543,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743
45,1569.8,2.38168,1.20466,0.00499,0.72392,0.41916,0.46139,0.2279,2.17928,1.04791,0.00544,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
46,1706.36,2.38056,1.21445,0.00499,0.72159,0.42075,0.46151,0.22827,2.17567,1.0509,0.00542,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
47,1826.01,2.36885,1.20806,0.00497,0.72442,0.42115,0.46296,0.22914,2.17052,1.05193,0.0054,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
48,1947.36,2.36164,1.19631,0.00499,0.72889,0.42085,0.46359,0.22964,2.16896,1.04763,0.00539,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347
49,2071.12,2.37,1.20612,0.00496,0.72752,0.42271,0.46455,0.23047,2.16727,1.05059,0.00538,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
50,2195.05,2.37954,1.21095,0.00498,0.72588,0.42299,0.46497,0.23128,2.16532,1.05044,0.00537,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149
51,2318.69,2.37655,1.19862,0.00495,0.72571,0.42493,0.46639,0.23129,2.16216,1.0493,0.00535,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
52,2439.95,2.35148,1.19003,0.00496,0.72095,0.42521,0.46563,0.23139,2.16229,1.04538,0.00535,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951
53,2562.75,2.36226,1.19999,0.00496,0.72806,0.42415,0.46643,0.23215,2.15805,1.04569,0.00535,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
54,2683.66,2.35799,1.20785,0.00492,0.72959,0.42501,0.46754,0.23267,2.15788,1.04756,0.00534,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753
55,2805.44,2.35866,1.19546,0.00484,0.72897,0.42606,0.46871,0.23229,2.15766,1.04664,0.00533,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
