epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,397.93,2.5557,1.35122,0.00452,0.81418,0.57139,0.6362,0.32864,2.48327,1.31806,0.00649,0.00999379,0.00333126,0.00999379,0.00333126,0.00999379,0.00333126,0.00999379,0.00333126
2,747.253,2.5952,1.39786,0.00469,0.80411,0.55766,0.62049,0.32031,2.51034,1.36273,0.00665,0.0199937,0.00666458,0.0199937,0.00666458,0.0199937,0.00666458,0.0199937,0.00666458
3,1086.52,2.70026,1.49865,0.005,0.78537,0.52998,0.59077,0.29822,2.5906,1.44018,0.00691,0.0299935,0.00999783,0.0299935,0.00999783,0.0299935,0.00999783,0.0299935,0.00999783
4,1425.24,2.77691,1.5819,0.00525,0.7835,0.53213,0.59399,0.30175,2.57411,1.47748,0.00693,0.0299993,0.00999978,0.0299993,0.00999978,0.0299993,0.00999978,0.0299993,0.00999978
5,1752.25,2.77571,1.59788,0.00531,0.79522,0.53839,0.60107,0.30451,2.56564,1.46069,0.00684,0.0299988,0.00999961,0.0299988,0.00999961,0.0299988,0.00999961,0.0299988,0.00999961
6,2088.49,2.78665,1.58622,0.00523,0.78057,0.54071,0.59902,0.3011,2.57317,1.42445,0.00688,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
7,2426.88,2.76051,1.56275,0.00523,0.78534,0.5427,0.60241,0.30771,2.55574,1.41648,0.00679,0.0299974,0.00999912,0.0299974,0.00999912,0.0299974,0.00999912,0.0299974,0.00999912
8,2756.53,2.78353,1.58522,0.00519,0.78935,0.53748,0.59838,0.30401,2.54609,1.40061,0.00663,0.0299964,0.0099988,0.0299964,0.0099988,0.0299964,0.0099988,0.0299964,0.0099988
9,3079.77,2.7617,1.5662,0.00513,0.79366,0.54288,0.60583,0.3111,2.52529,1.38224,0.00666,0.0299953,0.00999844,0.0299953,0.00999844,0.0299953,0.00999844,0.0299953,0.00999844
10,3409.36,2.79576,1.58439,0.00524,0.78876,0.54129,0.60265,0.30966,2.5403,1.38383,0.00665,0.0299941,0.00999802,0.0299941,0.00999802,0.0299941,0.00999802,0.0299941,0.00999802
11,3740.09,2.77245,1.56168,0.00518,0.79162,0.54366,0.60715,0.30831,2.54596,1.38476,0.00667,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
12,4071.71,2.7908,1.56945,0.00518,0.79361,0.53869,0.60221,0.30905,2.52874,1.38638,0.00665,0.0299911,0.00999704,0.0299911,0.00999704,0.0299911,0.00999704,0.0299911,0.00999704
13,4398.06,2.7569,1.53868,0.00514,0.78317,0.54532,0.60485,0.3116,2.52842,1.39675,0.0066,0.0299894,0.00999648,0.0299894,0.00999648,0.0299894,0.00999648,0.0299894,0.00999648
14,4723.23,2.76887,1.55155,0.00519,0.79708,0.54769,0.61008,0.31201,2.53349,1.3554,0.00653,0.0299876,0.00999587,0.0299876,0.00999587,0.0299876,0.00999587,0.0299876,0.00999587
15,5048.18,2.75968,1.54367,0.00513,0.79526,0.54169,0.60662,0.31121,2.51944,1.38981,0.00654,0.0299856,0.00999521,0.0299856,0.00999521,0.0299856,0.00999521,0.0299856,0.00999521
16,5376.56,2.76421,1.54479,0.00511,0.79912,0.54716,0.61221,0.31621,2.50776,1.33922,0.00655,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
17,5702.92,2.76186,1.52939,0.00509,0.80562,0.54471,0.60992,0.3152,2.50734,1.36176,0.00648,0.0299812,0.00999375,0.0299812,0.00999375,0.0299812,0.00999375,0.0299812,0.00999375
18,6029.01,2.73905,1.52095,0.00506,0.79786,0.55334,0.61636,0.31927,2.49293,1.33535,0.00642,0.0299788,0.00999294,0.0299788,0.00999294,0.0299788,0.00999294,0.0299788,0.00999294
19,6356.03,2.76277,1.53915,0.00513,0.80281,0.54917,0.61655,0.32082,2.487,1.3274,0.00638,0.0299763,0.00999209,0.0299763,0.00999209,0.0299763,0.00999209,0.0299763,0.00999209
20,6681.96,2.74509,1.52159,0.00507,0.80474,0.55308,0.61804,0.32093,2.49332,1.32749,0.00649,0.0299736,0.00999118,0.0299736,0.00999118,0.0299736,0.00999118,0.0299736,0.00999118
21,7008.87,2.7728,1.53551,0.00509,0.7985,0.55235,0.61829,0.32119,2.47771,1.33942,0.00645,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
22,7366.65,2.72776,1.51479,0.00504,0.80809,0.55419,0.62144,0.32362,2.47366,1.31925,0.0064,0.0299677,0.00998923,0.0299677,0.00998923,0.0299677,0.00998923,0.0299677,0.00998923
23,7749.7,2.73972,1.52267,0.00509,0.80874,0.55753,0.6223,0.3225,2.48008,1.3264,0.00635,0.0299645,0.00998818,0.0299645,0.00998818,0.0299645,0.00998818,0.0299645,0.00998818
24,8077.89,2.7444,1.51282,0.00512,0.80745,0.55736,0.62148,0.3227,2.48299,1.30402,0.00634,0.0299613,0.00998708,0.0299613,0.00998708,0.0299613,0.00998708,0.0299613,0.00998708
25,8409.07,2.75326,1.53386,0.0051,0.81002,0.5496,0.61817,0.32247,2.47666,1.32742,0.00634,0.0299578,0.00998594,0.0299578,0.00998594,0.0299578,0.00998594,0.0299578,0.00998594
26,8738.02,2.74758,1.52651,0.00506,0.80188,0.55078,0.61598,0.32109,2.48288,1.32832,0.00636,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
27,9061.57,2.73258,1.51334,0.00504,0.80965,0.55464,0.62155,0.32386,2.47831,1.30235,0.00633,0.0299505,0.0099835,0.0299505,0.0099835,0.0299505,0.0099835,0.0299505,0.0099835
28,9386.24,2.74972,1.51087,0.00498,0.80251,0.55723,0.62301,0.32509,2.46613,1.32427,0.0063,0.0299466,0.0099822,0.0299466,0.0099822,0.0299466,0.0099822,0.0299466,0.0099822
29,9709.18,2.73454,1.5223,0.00505,0.80416,0.55877,0.62277,0.32435,2.46693,1.30013,0.0063,0.0299426,0.00998086,0.0299426,0.00998086,0.0299426,0.00998086,0.0299426,0.00998086
30,10033.9,2.7298,1.49922,0.00511,0.80905,0.56013,0.62595,0.3271,2.45479,1.29347,0.00626,0.0299384,0.00997947,0.0299384,0.00997947,0.0299384,0.00997947,0.0299384,0.00997947
31,10360.2,2.74185,1.50878,0.00501,0.8058,0.55877,0.62438,0.32622,2.46646,1.29664,0.00624,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
32,10687.8,2.74446,1.51078,0.00503,0.80892,0.56117,0.62718,0.328,2.45748,1.30103,0.00626,0.0299296,0.00997654,0.0299296,0.00997654,0.0299296,0.00997654,0.0299296,0.00997654
33,11017.4,2.73092,1.51381,0.00505,0.80782,0.55789,0.62564,0.32833,2.45311,1.28758,0.00627,0.029925,0.00997501,0.029925,0.00997501,0.029925,0.00997501,0.029925,0.00997501
34,11342.7,2.71947,1.50192,0.00505,0.80426,0.5621,0.62681,0.3281,2.45488,1.28645,0.00623,0.0299203,0.00997342,0.0299203,0.00997342,0.0299203,0.00997342,0.0299203,0.00997342
35,11669,2.75699,1.53371,0.00504,0.81329,0.56351,0.63009,0.32988,2.4533,1.28603,0.00629,0.0299154,0.00997179,0.0299154,0.00997179,0.0299154,0.00997179,0.0299154,0.00997179
36,11999.2,2.72725,1.48598,0.00497,0.80934,0.56635,0.63184,0.33026,2.44639,1.28447,0.0062,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
37,12325.6,2.73832,1.50477,0.00502,0.81487,0.563,0.63122,0.33032,2.452,1.2859,0.00622,0.0299051,0.00996838,0.0299051,0.00996838,0.0299051,0.00996838,0.0299051,0.00996838
38,12655.1,2.73662,1.49714,0.00507,0.81363,0.56119,0.62965,0.33002,2.44394,1.28778,0.00618,0.0298998,0.0099666,0.0298998,0.0099666,0.0298998,0.0099666,0.0298998,0.0099666
39,13077.5,2.74189,1.50597,0.00496,0.8083,0.56444,0.62931,0.33173,2.43509,1.28177,0.00618,0.0298943,0.00996477,0.0298943,0.00996477,0.0298943,0.00996477,0.0298943,0.00996477
40,13652.5,2.74003,1.49754,0.005,0.81436,0.56464,0.63195,0.33238,2.4407,1.27908,0.00617,0.0298887,0.00996289,0.0298887,0.00996289,0.0298887,0.00996289,0.0298887,0.00996289
41,14159.7,2.73302,1.49382,0.005,0.81571,0.56263,0.63228,0.33201,2.44045,1.27991,0.00616,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
42,14490.1,2.72491,1.48642,0.00499,0.81459,0.56256,0.6316,0.33227,2.4406,1.28052,0.00616,0.029877,0.00995899,0.029877,0.00995899,0.029877,0.00995899,0.029877,0.00995899
43,14819.9,2.73761,1.48666,0.00501,0.81536,0.56911,0.63536,0.33337,2.43731,1.25946,0.00619,0.0298709,0.00995697,0.0298709,0.00995697,0.0298709,0.00995697,0.0298709,0.00995697
44,15148.9,2.73037,1.47534,0.00498,0.81346,0.56661,0.63409,0.33323,2.43591,1.26357,0.00618,0.0298647,0.0099549,0.0298647,0.0099549,0.0298647,0.0099549,0.0298647,0.0099549
45,15472.4,2.72715,1.48334,0.00505,0.81317,0.56583,0.63454,0.33394,2.43299,1.26012,0.00617,0.0298584,0.00995278,0.0298584,0.00995278,0.0298584,0.00995278,0.0298584,0.00995278
46,15796.1,2.73434,1.48666,0.005,0.81548,0.56756,0.63647,0.33478,2.43429,1.2611,0.00615,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
47,16121.7,2.72878,1.48636,0.00501,0.81203,0.56799,0.63557,0.33371,2.4342,1.27094,0.00615,0.0298452,0.0099484,0.0298452,0.0099484,0.0298452,0.0099484,0.0298452,0.0099484
48,16446.6,2.72735,1.4953,0.00502,0.81723,0.56751,0.6359,0.33561,2.42692,1.26818,0.00614,0.0298384,0.00994614,0.0298384,0.00994614,0.0298384,0.00994614,0.0298384,0.00994614
49,16772.9,2.72581,1.49302,0.00505,0.82086,0.5685,0.63718,0.33631,2.42418,1.25919,0.00613,0.0298315,0.00994383,0.0298315,0.00994383,0.0298315,0.00994383,0.0298315,0.00994383
50,17098.3,2.73171,1.49514,0.00502,0.82005,0.57016,0.63866,0.33705,2.42102,1.26276,0.00612,0.0298244,0.00994147,0.0298244,0.00994147,0.0298244,0.00994147,0.0298244,0.00994147
51,17423.4,2.73616,1.49117,0.00507,0.81515,0.57121,0.63855,0.33642,2.42128,1.26388,0.00613,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
52,17748.8,2.72469,1.47859,0.00499,0.81665,0.57235,0.63888,0.33638,2.4245,1.25849,0.00611,0.0298098,0.0099366,0.0298098,0.0099366,0.0298098,0.0099366,0.0298098,0.0099366
53,18074.1,2.73434,1.489,0.00494,0.81779,0.57096,0.63808,0.33657,2.42242,1.26083,0.00611,0.0298023,0.0099341,0.0298023,0.0099341,0.0298023,0.0099341,0.0298023,0.0099341
54,18399.9,2.72015,1.48161,0.00501,0.81498,0.57094,0.63763,0.33593,2.42578,1.26192,0.00612,0.0297946,0.00993154,0.0297946,0.00993154,0.0297946,0.00993154,0.0297946,0.00993154
55,18724.8,2.72879,1.49065,0.00505,0.81728,0.5697,0.63726,0.33575,2.42194,1.26131,0.0061,0.0297868,0.00992894,0.0297868,0.00992894,0.0297868,0.00992894,0.0297868,0.00992894
56,19049.9,2.73937,1.47886,0.005,0.81841,0.56973,0.63808,0.3363,2.42199,1.26411,0.0061,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
57,19375.6,2.73116,1.48417,0.00494,0.8147,0.57072,0.63803,0.3363,2.41802,1.26509,0.00607,0.0297708,0.00992359,0.0297708,0.00992359,0.0297708,0.00992359,0.0297708,0.00992359
58,19702.4,2.7441,1.4844,0.00495,0.81304,0.57144,0.6382,0.33621,2.41738,1.26267,0.00606,0.0297625,0.00992085,0.0297625,0.00992085,0.0297625,0.00992085,0.0297625,0.00992085
59,20026.5,2.71979,1.47331,0.00494,0.81653,0.57089,0.6392,0.33665,2.41464,1.26346,0.00605,0.0297542,0.00991805,0.0297542,0.00991805,0.0297542,0.00991805,0.0297542,0.00991805
60,20351,2.71953,1.48827,0.00504,0.81866,0.57114,0.63948,0.33715,2.41568,1.26004,0.00605,0.0297456,0.00991521,0.0297456,0.00991521,0.0297456,0.00991521,0.0297456,0.00991521
61,20676.3,2.72339,1.46953,0.00502,0.81696,0.57343,0.64014,0.33739,2.41363,1.25907,0.00605,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
62,21002.7,2.74776,1.49147,0.00497,0.81887,0.57263,0.64021,0.33883,2.41254,1.25337,0.00605,0.0297282,0.00990938,0.0297282,0.00990938,0.0297282,0.00990938,0.0297282,0.00990938
63,21330.6,2.73409,1.48203,0.00503,0.81658,0.57498,0.64048,0.33849,2.40998,1.25051,0.00605,0.0297192,0.0099064,0.0297192,0.0099064,0.0297192,0.0099064,0.0297192,0.0099064
64,21656.9,2.74871,1.48526,0.00499,0.81626,0.57431,0.64028,0.33873,2.40973,1.2532,0.00605,0.0297101,0.00990336,0.0297101,0.00990336,0.0297101,0.00990336,0.0297101,0.00990336
65,21984.4,2.74472,1.49142,0.005,0.81761,0.57457,0.64073,0.33905,2.40799,1.25295,0.00604,0.0297008,0.00990028,0.0297008,0.00990028,0.0297008,0.00990028,0.0297008,0.00990028
66,22311.3,2.73346,1.48496,0.00497,0.81661,0.57426,0.64014,0.3389,2.40824,1.25229,0.00604,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
67,22637.7,2.72596,1.48285,0.00495,0.81802,0.57361,0.63992,0.33908,2.407,1.25189,0.00604,0.0296819,0.00989398,0.0296819,0.00989398,0.0296819,0.00989398,0.0296819,0.00989398
68,22964.3,2.72707,1.48303,0.00501,0.81731,0.57467,0.64026,0.3391,2.40458,1.25469,0.00603,0.0296723,0.00989075,0.0296723,0.00989075,0.0296723,0.00989075,0.0296723,0.00989075
